                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
           60 |          68 |            -294.584 |            0.025
           61 |          17 |               7.362 |            0.041
           61 |          18 |               0.047 |            0.000
           61 |          28 |              -0.117 |            0.000
           61 |          30 |               7.909 |            0.049
           61 |          58 |           -2017.503 |       114858.929
           62 |          18 |              -7.858 |            0.049
           62 |          30 |              -0.046 |            0.000
           62 |          60 |           -2071.239 |       114851.424
           63 |          52 |           -1335.805 |            0.372
           63 |          53 |             295.246 |            0.025
           63 |          64 |            1040.559 |            0.228
           64 |          54 |             228.951 |            0.016
           64 |          63 |           -1040.331 |            0.228
           64 |          65 |             811.381 |            0.137
           65 |          56 |             287.785 |            0.024
           65 |          64 |            -811.243 |            0.137
           65 |          66 |             523.458 |            0.057
           66 |          58 |             228.774 |            0.016
           66 |          65 |            -523.401 |            0.057
           66 |          68 |             294.627 |            0.018
           67 |          25 |          117004.764 |       114984.879
           67 |          32 |            -229.274 |            0.016
           68 |          60 |             294.609 |            0.025
           68 |          66 |            -294.609 |            0.018
           69 |           3 |            -229.279 |            0.016
           69 |          72 |          117004.766 |       114984.877
           70 |           4 |            -294.821 |            0.025
           70 |          73 |          117007.192 |       114934.432
           71 |           5 |            -294.661 |            0.025
           71 |          76 |          116963.523 |       114891.575
           72 |          11 |               7.894 |            0.049
           72 |          40 |               7.380 |            0.041
           72 |          41 |               0.220 |            0.000
           72 |          69 |           -2019.889 |       114984.877
           73 |          11 |              -0.226 |            0.000
           73 |          41 |              -7.848 |            0.049
           73 |          44 |               0.188 |            0.000
           73 |          70 |           -2072.760 |       114934.432
           74 |           1 |          116873.664 |       114856.235
           74 |           6 |            -228.708 |            0.016
           75 |           2 |          116913.444 |       114849.410
           75 |           7 |            -287.588 |            0.024
           76 |          13 |              -0.202 |            0.000
           76 |          16 |              -7.856 |            0.049
           76 |          45 |               0.125 |            0.000
           76 |          71 |           -2071.948 |       114891.575


                       Resultados globais
Potencia ativa total gerada:          6680.793 (kW)
Potencia ativa total de carga:    -2865946.746 (kW)
Perda ativa total:                 2872627.540 (kW)
