                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
  218 |    0.995269 |     -0.2725 |        7929.742
  219 |    0.988864 |     -0.3955 |        7878.709
  220 |    0.995246 |     -0.2727 |        7929.560
  221 |    0.988459 |     -0.4031 |        7875.482
  222 |    0.995223 |     -0.2729 |        7929.375
  223 |    0.988050 |     -0.4108 |        7872.226
  224 |    0.995199 |     -0.2732 |        7929.186
  225 |    0.987631 |     -0.4187 |        7868.885
  226 |    0.995176 |     -0.2734 |        7928.997
  227 |    0.987212 |     -0.4266 |        7865.545
  228 |    0.995153 |     -0.2736 |        7928.818
  229 |    0.986815 |     -0.4341 |        7862.384
  230 |    0.995133 |     -0.2737 |        7928.659
  231 |    0.986463 |     -0.4407 |        7859.577
  232 |    0.995110 |     -0.2739 |        7928.476
  233 |    0.986056 |     -0.4484 |        7856.334
  234 |    0.995087 |     -0.2742 |        7928.288
  235 |    0.985641 |     -0.4562 |        7853.033
  236 |    0.995065 |     -0.2743 |        7928.118
  237 |    0.985266 |     -0.4633 |        7850.045
  238 |    0.995048 |     -0.2745 |        7927.980
  239 |    0.984960 |     -0.4691 |        7847.600
  240 |    0.995031 |     -0.2747 |        7927.840
  241 |    0.984652 |     -0.4749 |        7845.148
  242 |    0.995007 |     -0.2749 |        7927.651
  243 |    0.984233 |     -0.4829 |        7841.810
  244 |    0.994984 |     -0.2751 |        7927.466
  245 |    0.983824 |     -0.4906 |        7838.550
  246 |    0.994960 |     -0.2753 |        7927.278
  247 |    0.983410 |     -0.4985 |        7835.252
  248 |    0.994940 |     -0.2755 |        7927.115
  249 |    0.983049 |     -0.5054 |        7832.377
  250 |    0.994916 |     -0.2757 |        7926.930
  251 |    0.982640 |     -0.5131 |        7829.117
  252 |    0.994897 |     -0.2758 |        7926.775
  253 |    0.982298 |     -0.5197 |        7826.391
  254 |    0.994880 |     -0.2760 |        7926.642
  255 |    0.982003 |     -0.5253 |        7824.047
  256 |    0.994860 |     -0.2762 |        7926.482
  257 |    0.981651 |     -0.5320 |        7821.237
  258 |    0.994843 |     -0.2763 |        7926.347
  259 |    0.981353 |     -0.5377 |        7818.863
  260 |    0.994823 |     -0.2765 |        7926.186
  261 |    0.980997 |     -0.5445 |        7816.029
  262 |    0.994803 |     -0.2767 |        7926.030
  263 |    0.980653 |     -0.5510 |        7813.290
  264 |    0.994783 |     -0.2769 |        7925.869
  265 |    0.959529 |     -1.1306 |        7644.982
  266 |    0.959525 |     -1.1306 |        7644.953
  267 |    0.959522 |     -1.1306 |        7644.925
  268 |    0.959518 |     -1.1306 |        7644.900
  269 |    0.959515 |     -1.1305 |        7644.873
  270 |    0.959515 |     -1.1305 |        7644.873
  271 |    0.959515 |     -1.1305 |        7644.873
  272 |    0.959515 |     -1.1305 |        7644.873
  273 |    0.999410 |     -0.0382 |        7962.731
  274 |    0.999270 |     -0.0464 |        7961.622
  275 |    0.997308 |     -0.1625 |        7945.985
  276 |    0.997308 |     -0.1625 |        7945.985
  277 |    0.997308 |     -0.1625 |        7945.985
  278 |    0.997308 |     -0.1625 |        7945.985
  279 |    0.997308 |     -0.1625 |        7945.985
  280 |    0.997308 |     -0.1625 |        7945.985
  281 |    0.997308 |     -0.1625 |        7945.985
  282 |    0.997308 |     -0.1625 |        7945.985
  283 |    0.997308 |     -0.1625 |        7945.985
  284 |    0.997308 |     -0.1625 |        7945.985
  285 |    0.997308 |     -0.1625 |        7945.985
  286 |    0.997308 |     -0.1625 |        7945.985
  287 |    0.999228 |     -0.0489 |        7961.285
  288 |    0.963086 |     -0.9836 |        7673.326
  289 |    0.963083 |     -0.9836 |        7673.299
  290 |    0.963079 |     -0.9836 |        7673.269
  291 |    0.963076 |     -0.9836 |        7673.243
  292 |    0.994592 |     -0.2785 |        7924.349
  293 |    0.994587 |     -0.2786 |        7924.306
  294 |    0.975856 |     -0.6432 |        7775.069
  295 |    0.975594 |     -0.6483 |        7772.985
  296 |    0.994602 |     -0.2785 |        7924.426
  297 |    0.976334 |     -0.6340 |        7778.880
  298 |    0.994608 |     -0.2784 |        7924.471
  299 |    0.976611 |     -0.6286 |        7781.087
  300 |    0.994627 |     -0.2782 |        7924.621
  301 |    0.977537 |     -0.6108 |        7788.462
  302 |    0.994580 |     -0.2786 |        7924.249
  303 |    0.975238 |     -0.6552 |        7770.145
  304 |    0.994573 |     -0.2787 |        7924.194
  305 |    0.974900 |     -0.6617 |        7767.451
  306 |    0.994566 |     -0.2788 |        7924.139
  307 |    0.974562 |     -0.6682 |        7764.756
  308 |    0.994559 |     -0.2788 |        7924.084
  309 |    0.980297 |     -0.5578 |        7810.452
  310 |    0.994767 |     -0.2770 |        7925.744
  311 |    0.980022 |     -0.5631 |        7808.257
  312 |    0.994744 |     -0.2772 |        7925.560
  313 |    0.979615 |     -0.5709 |        7805.019
  314 |    0.994721 |     -0.2774 |        7925.373
  315 |    0.979202 |     -0.5788 |        7801.728
  316 |    0.994697 |     -0.2776 |        7925.183
  317 |    0.994674 |     -0.2778 |        7924.996
  318 |    0.978363 |     -0.5949 |        7795.041
  319 |    0.978361 |     -0.5949 |        7795.028
  320 |    0.978360 |     -0.5949 |        7795.020
  321 |    0.978360 |     -0.5949 |        7795.016
  322 |    0.978359 |     -0.5949 |        7795.012
  323 |    0.978359 |     -0.5949 |        7795.009
  324 |    0.994650 |     -0.2780 |        7924.809
  325 |    0.977949 |     -0.6029 |        7791.747
  326 |    0.994550 |     -0.2789 |        7924.010
  327 |    0.994550 |     -0.2789 |        7924.010
  328 |    0.968432 |     -0.7878 |        7715.914
  329 |    0.967997 |     -0.7963 |        7712.455
  330 |    0.970037 |     -0.7563 |        7728.707
  331 |    0.969643 |     -0.7641 |        7725.566
  332 |    0.994550 |     -0.2789 |        7924.010
  333 |    0.994550 |     -0.2789 |        7924.010
  334 |    0.970464 |     -0.7480 |        7732.109
  335 |    0.994550 |     -0.2789 |        7924.010
  336 |    0.970868 |     -0.7401 |        7735.326
  337 |    0.994550 |     -0.2789 |        7924.010
  338 |    0.971261 |     -0.7324 |        7738.455
  339 |    0.994550 |     -0.2789 |        7924.010
  340 |    0.971621 |     -0.7254 |        7741.323
  341 |    0.994550 |     -0.2789 |        7924.010
  342 |    0.972118 |     -0.7157 |        7745.285
  343 |    0.994550 |     -0.2789 |        7924.010
  344 |    0.994557 |     -0.2788 |        7924.068
  345 |    0.994550 |     -0.2789 |        7924.010
  346 |    0.973770 |     -0.6836 |        7758.451
  347 |    0.994544 |     -0.2788 |        7923.968
  348 |    0.994550 |     -0.2789 |        7924.010
  349 |    0.973328 |     -0.6922 |        7754.927
  350 |    0.994550 |     -0.2789 |        7924.010
  351 |    0.972915 |     -0.7002 |        7751.632
  352 |    0.994550 |     -0.2789 |        7924.010
  353 |    0.969372 |     -0.7694 |        7723.410
  354 |    0.960705 |     -1.0818 |        7654.354
  355 |    0.962544 |     -0.9769 |        7669.006
  356 |    0.962539 |     -0.9770 |        7668.962
  357 |    0.994598 |     -0.2780 |        7924.396
  358 |    0.994573 |     -0.2779 |        7924.197
  359 |    0.994558 |     -0.2778 |        7924.075
  360 |    0.994535 |     -0.2776 |        7923.889
  361 |    0.994510 |     -0.2774 |        7923.696
  362 |    0.994488 |     -0.2773 |        7923.516
  363 |    0.994470 |     -0.2772 |        7923.371
  364 |    0.994449 |     -0.2770 |        7923.207
  365 |    0.994431 |     -0.2769 |        7923.066
  366 |    0.994414 |     -0.2768 |        7922.927
  367 |    0.994394 |     -0.2766 |        7922.770
  368 |    0.994377 |     -0.2765 |        7922.632
  369 |    0.994133 |     -0.2748 |        7920.690
  370 |    0.994133 |     -0.2748 |        7920.693
  371 |    0.994135 |     -0.2748 |        7920.708
  372 |    0.972531 |     -0.7077 |        7748.579
  373 |    0.994550 |     -0.2789 |        7924.010
  374 |    0.969220 |     -0.7723 |        7722.196
  375 |    0.968822 |     -0.7802 |        7719.024
  376 |    0.961437 |     -1.0516 |        7660.188
  377 |    0.961437 |     -1.0516 |        7660.188
  378 |    0.961437 |     -1.0516 |        7660.188
  379 |    0.961437 |     -1.0516 |        7660.188
  380 |    0.961437 |     -1.0516 |        7660.188
  381 |    0.961437 |     -1.0516 |        7660.188
  382 |    0.961437 |     -1.0516 |        7660.188
  383 |    0.961437 |     -1.0516 |        7660.188
  384 |    0.961437 |     -1.0516 |        7660.188
  385 |    0.961437 |     -1.0516 |        7660.188
  386 |    0.961437 |     -1.0516 |        7660.188
  387 |    0.961437 |     -1.0516 |        7660.188
  388 |    0.961437 |     -1.0516 |        7660.188
  389 |    0.960707 |     -1.0818 |        7654.372
  390 |    0.960707 |     -1.0818 |        7654.368
  391 |    0.960706 |     -1.0818 |        7654.365
  392 |    0.960706 |     -1.0818 |        7654.361
  393 |    0.960705 |     -1.0818 |        7654.358
  394 |    0.960705 |     -1.0818 |        7654.354
  395 |    0.960705 |     -1.0818 |        7654.354
  396 |    0.960705 |     -1.0818 |        7654.354
  397 |    0.993917 |     -0.2723 |        7918.968
  398 |    0.993905 |     -0.2723 |        7918.871
  399 |    0.954926 |     -1.3250 |        7608.311
  400 |    0.962727 |     -0.9777 |        7670.463
  401 |    0.962704 |     -0.9775 |        7670.280
  402 |    0.962689 |     -0.9774 |        7670.164
  403 |    0.962677 |     -0.9773 |        7670.068
  404 |    0.962667 |     -0.9773 |        7669.987
  405 |    0.962664 |     -0.9773 |        7669.959
  406 |    0.962677 |     -0.9773 |        7670.068
  407 |    0.962677 |     -0.9773 |        7670.068
  408 |    0.962654 |     -0.9772 |        7669.882
  409 |    0.962650 |     -0.9773 |        7669.848
  410 |    0.962642 |     -0.9774 |        7669.786
  411 |    0.962635 |     -0.9774 |        7669.734
  412 |    0.962622 |     -0.9773 |        7669.631
  413 |    0.962609 |     -0.9772 |        7669.520
  414 |    0.962595 |     -0.9771 |        7669.410
  415 |    0.962580 |     -0.9770 |        7669.289
  416 |    0.962554 |     -0.9768 |        7669.085
  417 |    0.962549 |     -0.9769 |        7669.047
  418 |    0.962566 |     -0.9769 |        7669.178
  419 |    0.993711 |     -0.2713 |        7917.325
  420 |    0.993712 |     -0.2713 |        7917.335
